dates,case,deaths
31/12/2019,0,0
01/01/2020,0,0
02/01/2020,0,0
03/01/2020,0,0
04/01/2020,0,0
05/01/2020,0,0
06/01/2020,0,0
07/01/2020,0,0
08/01/2020,0,0
09/01/2020,0,0
10/01/2020,0,0
11/01/2020,0,0
12/01/2020,0,0
13/01/2020,0,0
14/01/2020,0,0
15/01/2020,0,0
16/01/2020,0,0
17/01/2020,0,0
18/01/2020,0,0
19/01/2020,0,0
20/01/2020,0,0
21/01/2020,0,0
22/01/2020,0,0
23/01/2020,0,0
24/01/2020,0,0
25/01/2020,0,0
26/01/2020,0,0
27/01/2020,0,0
28/01/2020,0,0
29/01/2020,0,0
30/01/2020,0,0
31/01/2020,0,0
01/02/2020,0,0
02/02/2020,0,0
03/02/2020,0,0
04/02/2020,0,0
05/02/2020,0,0
06/02/2020,0,0
07/02/2020,0,0
08/02/2020,0,0
09/02/2020,0,0
10/02/2020,0,0
11/02/2020,0,0
12/02/2020,0,0
13/02/2020,0,0
14/02/2020,0,0
15/02/2020,0,0
16/02/2020,0,0
17/02/2020,0,0
18/02/2020,0,0
19/02/2020,0,0
20/02/2020,0,0
21/02/2020,0,0
22/02/2020,0,0
23/02/2020,0,0
24/02/2020,0,0
25/02/2020,0,0
26/02/2020,0,0
27/02/2020,0,0
28/02/2020,0,0
29/02/2020,0,0
01/03/2020,0,0
02/03/2020,2,0
07/03/2020,2,0
09/03/2020,2,0
11/03/2020,13,0
12/03/2020,15,1
14/03/2020,35,3
15/03/2020,27,0
16/03/2020,21,1
17/03/2020,17,0
18/03/2020,38,0
19/03/2020,0,0
20/03/2020,55,14
21/03/2020,82,6
22/03/2020,141,13
23/03/2020,64,10
24/03/2020,65,1
25/03/2020,107,6
26/03/2020,104,3
27/03/2020,103,20
28/03/2020,153,9
29/03/2020,109,15
30/03/2020,130,12
31/03/2020,129,8
01/04/2020,114,14
02/04/2020,149,21
03/04/2020,113,13
